Markdown Conversion,MD-src,WYSIWYG,DOCX,PPTX,PDF,Cite,Diagrams,Math,Local-LLM,Offline,OSS,RT-collab,Git-async,Mobile
md2star,5,3,4,4,4,4,4,3,3,5,5,1,3,2
Pandoc,5,1,4,3,2,5,1,5,1,5,5,1,5,2
Quarto,5,3,4,4,3,5,4,5,1,4,5,1,4,3
Curvenote,4,4,3,2,4,5,4,5,1,2,3,5,3,3
Stencila,4,4,3,2,3,4,3,4,3,3,4,4,3,2
Marp / Slidev,5,3,1,4,4,1,4,3,1,5,5,1,4,3
Typora,5,5,3,1,3,2,4,4,1,5,1,1,3,2
Zettlr,5,4,4,2,3,5,3,4,1,5,5,1,3,2
Obsidian + plugins,5,4,3,2,3,3,4,4,4,5,2,1,4,5
StackEdit,5,3,2,1,3,1,4,4,1,3,4,1,4,4
HedgeDoc / HackMD,5,3,2,2,3,2,3,4,1,1,5,5,2,4
CryptPad,4,4,2,2,3,1,2,3,1,2,5,5,1,3
Notion,2,5,3,1,4,1,3,3,1,1,1,5,1,5
GitBook,4,4,2,1,4,2,4,3,2,1,2,3,5,3
Google Docs,2,5,4,4,5,3,2,2,1,2,1,5,1,5
Overleaf,1,2,2,2,5,5,4,5,1,2,3,5,4,3
MS Word / Office,1,5,5,5,5,4,4,4,1,4,1,4,1,4
